"번호","k-아파트코드","k-아파트명","k-단지분류(아파트,주상복합등등)","kapt도로명주소","주소(시도)k-apt주소split","주소(시군구)","주소(읍면동)","나머지주소","주소(도로명)","주소(도로명상세주소)","k-전화번호","k-팩스번호","단지소개글clob","단지첨부파일","k-복도유형(계단식등)","k-난방방식","k-난방연료","k-단지분류","k-전체동수","k-전체세대수","k-건설사(시공사)","k-시행사","k-사용검사일-사용승인일","k-연면적","k-주거전용면적","k-관리비부과면적","k-전용면적별세대현황(60㎡이하)","k-전용면적별세대현황(60㎡~85㎡이하)","k-85㎡~135㎡이하","k-135㎡초과","k-홈페이지","k-등록일자","k-수정일자","고용보험관리번호","경비비관리형태","세대전기계약방법","청소비관리형태","건축면적","주차대수","기타/의무/임대/임의=1/2/3/4","단지승인일","사용허가일","관리비 업로드","좌표X","좌표Y","단지신청일"
"1","A15679103","우리유앤미","아파트","서울시 동작구 등용로 83","서울","동작구","대방동","우리유앤미아파트","등용로","83","028127541","028127542","","","혼합","개별난방","도시가스","아파트","2","206","우리건설","대방동지역주택조합","2003-12-26 00:00:00.0","27097","15827","20098","89.0","93.0","24.0","","","","2026-02-21 05:58:35.0","90800610361","위탁","종합계약","위탁","1773.56","223","의무","2018-04-10 15:59:42.0","Y","N","126.9596386","37.5006676","2013-03-07 09:46:59.0"
"2","A13876112","송파파인타운13단지","아파트","서울시 송파구 송파대로8길 10","서울","송파구","장지동","857","송파대로8길","10","024002658","024002668","","","혼합","지역난방","도시가스","아파트","4","197","한신공영(주)","SH공사","2011-01-27 00:00:00.0","30646","16720","22520","0.0","197.0","0.0","","","","2026-02-21 06:32:46.0","911-00-18063-1","위탁","종합계약","위탁","0.00","225","의무","2013-06-17 19:03:30.0","Y","N","127.1291789","37.4768967","2013-03-07 09:46:59.0"
"3","A13873701","오금쌍용스윗닷홈(임대)","아파트","서울시 송파구 마천로72길 20","서울","송파구","오금동","20-2","마천로72길","20","024000298","024000497","214","","임대","개별난방","도시가스","아파트","1","153","쌍용건설","쌍용건설","1997-01-24 00:00:00.0","7318","4743","4743","153.0","0.0","0.0","","","","2026-02-21 06:34:19.0","2158007586","위탁","종합계약","위탁","6892.79","60","기타","2013-11-21 16:43:07.0","Y","N","127.1287745","37.5089058","2013-03-07 09:46:59.0"
"4","A15275101","개봉현대","아파트","서울시 구로구 개봉로21길 85-6","서울","구로구","개봉동","47-1","개봉로21길","85-6","0220878606","0226878616","","","혼합","개별난방","도시가스","아파트","2","209","현대산업건설","동아건설","1994-05-09 00:00:00.0","24523","16894","24410","0.0","209.0","0.0","","","","2026-02-21 05:43:32.0","11382604260","위탁","종합계약","위탁","0.00","0","의무","2013-06-23 11:30:23.0","Y","N","126.8406749","37.5011622","2013-03-07 09:46:59.0"
"6","A13991016","월계동풍림아이원","아파트","서울시 노원구 월계로53길 21","서울","노원구","월계동","서울시 노원구 월계2동 940번지","월계로53길","21","029029567","029909567","","","혼합","개별난방","도시가스","아파트","5","205","(주)풍림건설","월계동풍림아이원아파트조합","2005-03-31 00:00:00.0","24680","14796","18578","103.0","102.0","0.0","","","","2026-02-21 04:50:01.0","91303045251","위탁","종합계약","위탁","0.00","206","의무","2015-06-19 09:59:49.0","Y","N","127.0582196","37.631732","2013-03-07 09:46:59.0"
"7","A13789201","우면코오롱KBS(113동)","아파트","서울시 서초구 바우뫼로 91","서울","서초구","우면동","160-2","바우뫼로","91","025798994","025748994","","","혼합","지역난방","도시가스","아파트","1","150","코오롱건설","코오롱건설","1996-12-31 00:00:00.0","16533","12704","16533","0.0","150.0","0.0","","","","2026-02-21 06:09:58.0","2148260850","위탁","단일계약","위탁","0.00","97","의무","2013-06-21 11:22:18.0","Y","N","127.0290739","37.4775008","2013-03-07 09:46:59.0"
"8","A13486701","천호삼성","아파트","서울시 강동구 구천면로12길 13","서울","강동구","천호동","288-5","구천면로12길","13","0262859993","0262871298","","","혼합","개별난방","도시가스","아파트","1","150","삼성건설(주)","삼성건설(주)","1997-12-03 00:00:00.0","15925","11793","15925","67.0","58.0","25.0","","없음","","2026-02-21 06:42:24.0","21280015640","자치","종합계약","자치","0.00","152","의무","2019-03-26 17:32:53.0","Y","N","127.1284727","37.5485886","2013-03-07 09:47:00.0"
"9","A14319001","자양강남아너스빌","아파트","서울시 광진구 자양로3길 55","서울","광진구","자양동","강남아너스빌","자양로3길","55","0234374442","0234374442","130","","혼합","개별난방","도시가스","아파트","1","150","경남건설","동아타운주택조합","1997-05-24 00:00:00.0","18340","10974","15270","70.0","80.0","0.0","","","","2026-02-21 04:21:04.0","90700036891","위탁","단일계약","위탁","1338.68","132","의무","2016-03-14 14:37:54.0","Y","N","127.083991","37.5294321","2013-03-07 09:47:01.0"
"10","A12208101","신사동금호아파트","아파트","서울시 은평구 증산로4길 26-5","서울","은평구","신사동","360","증산로4길","26-5","023569537","023569539","","","혼합","개별난방","도시가스","아파트","1","150","금호건설","금호건설","2000-04-11 00:00:00.0","20062","10592","15382","86.0","64.0","0.0","","","","2026-02-21 05:04:37.0","110-80-00522-0","위탁","종합계약","위탁","0.00","164","의무","2013-06-23 15:15:59.0","Y","N","126.9133122","37.6004574","2013-03-07 09:47:01.0"
"11","A15809001","신월대림아파트","아파트","서울시 양천구 신월로9길 37","서울","양천구","신월동","서울 양천구 신월4동 1017","신월로9길","37","0226900262","0226900263","","","혼합","개별난방","도시가스","아파트","3","150","대림건설","서울시도시개발공사","2003-09-24 00:00:00.0","17033","10679","17027","60.0","90.0","0.0","","","","2026-02-21 05:26:03.0","90700034491","위탁","종합계약","위탁","0.00","149","의무","2013-05-24 10:50:13.0","Y","N","126.8384999","37.5204711","2013-03-07 09:47:01.0"
